"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Midden-Groningen";30;49,3;6;9,9;3;4,9
"Mill en Sint Hubert";36;329;9;82,3;4;36,6
"Moerdijk";66;177,7;13;35;8;21,5
"Molenlanden";102;232,2;18;41;6;13,7
"Montferland";83;230,5;12;33,3;5;13,9
"Montfoort";34;244,3;12;86,2;4;28,7
"Mook en Middelaar";33;420,5;6;76,5;4;51
"Neder-Betuwe";108;443,7;31;127,4;18;73,9
"Nederweert";50;293,7;31;182,1;7;41,1
"Nieuwegein";101;159,2;40;63;12;18,9
"Nieuwkoop";45;156,2;8;27,8;4;13,9
"Nijkerk";51;118,1;22;51;2;4,6
"Nijmegen";512;288,1;119;67;50;28,1
"Nissewaard";149;174,8;45;52,8;11;12,9
"Noardeast-Frysl̢n";23;50,8;6;13,3;4;8,8
"Noord-Beveland";6;81,1;1;13,5;0;0
"Noordenveld";18;57,6;4;12,8;1;3,2
"Noordoostpolder";69;146;14;29,6;4;8,5
"Noordwijk";39;89,6;15;34,5;2;4,6
"Nuenen, Gerwen en Nederwetten";45;192,5;16;68,4;8;34,2
"Nunspeet";188;675,2;39;140,1;18;64,6
"Oegstgeest";36;144,9;8;32,2;3;12,1
"Oirschot";57;304,4;12;64,1;8;42,7
"Oisterwijk";58;221;16;61;9;34,3
"Oldambt";13;34;7;18,3;0;0
"Oldebroek";144;609;32;135,3;16;67,7
"Oldenzaal";48;150,8;14;44;5;15,7
"Olst-Wijhe";46;252;12;65,7;8;43,8
"Ommen";50;277,7;9;50;2;11,1
"Oost Gelre";49;165,4;10;33,8;5;16,9
"Oosterhout";100;178,6;44;78,6;13;23,2
"Ooststellingwerf";7;27,5;3;11,8;0;0
"Oostzaan";26;267,1;11;113;1;10,3
"Opmeer";8;67,6;1;8,4;1;8,4
"Opsterland";23;77,3;6;20,2;0;0
"Oss";436;474,3;163;177,3;81;88,1
"Oude IJsselstreek";67;170,1;15;38,1;9;22,8
"Ouder-Amstel";30;213,8;5;35,6;0;0
