"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Oostzaan";82,2;8;195,2;19
"Opmeer";8,4;1;42,2;5
"Opsterland";16,8;5;57,2;17
"Oss";121,8;112;354,6;326
"Oude IJsselstreek";22,8;9;104,1;41
"Ouder-Amstel";35,6;5;163,9;23
"Oudewater";205,4;21;391,2;40
"Overbetuwe";110,6;53;206,6;99
"Papendrecht";21,8;7;124,5;40
"Peel en Maas";308,6;134;518,2;225
"Pekela";32,8;4;32,8;4
"Pijnacker-Nootdorp";34,3;19;115,7;64
"Purmerend";67,7;55;174,8;142
"Putten";12,4;3;66,4;16
"Raalte";53;20;159,1;60
"Reimerswaal";17,6;4;96,8;22
"Renkum";44,6;14;114,6;36
"Renswoude";73,4;4;220,3;12
"Reusel-De Mierden";61;8;129,7;17
"Rheden";70,9;31;125,8;55
"Rhenen";19,9;4;74,5;15
"Ridderkerk";62,8;29;151,5;70
"Rijssen-Holten";60,2;23;188,6;72
"Rijswijk";33,1;18;104,7;57
"Roerdalen";121,5;25;184,7;38
"Roermond";82,4;48;168,2;98
"Roosendaal";24,6;19;167;129
"Rotterdam";45,7;298;196,7;1281
"Rozendaal";58,7;1;117,3;2
"Rucphen";30,6;7;157,4;36
"s-Gravenhage";38,9;212;116,5;635
"Schagen";34,4;16;122,6;57
"Scherpenzeel";30,4;3;172,1;17
"Schiedam";41,9;33;108;85
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";29,5;10;79,7;27
"Simpelveld";161,1;17;284,3;30
"Sint Anthonis";154,2;18;462,6;54
"Sint-Michielsgestel";99,3;29;232,9;68
"Sittard-Geleen";98,5;91;261,8;242
"Sliedrecht";27,8;7;126,9;32
"Sluis";30,2;7;64,6;15
"Smallingerland";12,5;7;48,1;27
"Soest";42,9;20;130,9;61
"Someren";139,3;27;366,4;71
"Son en Breugel";155,9;27;294,4;51
"Stadskanaal";6,3;2;12,6;4
"Staphorst";40,8;7;245;42
"Stede Broec";73,6;16;184;40
"Steenbergen";44,9;11;183,7;45
"Steenwijkerland";24,9;11;115,5;51
"Stein";144;36;288;72
"Stichtse Vecht";40;26;104,7;68
"Súdwest-Fryslân";17,8;16;60;54
"Terneuzen";34,9;19;147;80
"Terschelling";0;0;20,5;1
"Texel";29,5;4;81;11
"Teylingen";32,1;12;85,5;32
"Tholen";132;34;415,4;107
"Tiel";80,6;34;161,3;68
"Tilburg";72,3;159;227,9;501
"Tubbergen";47;10;286,7;61
"Twenterand";26,7;9;118,5;40
"Tynaarlo";20,7;7;94,5;32
"Tytsjerksteradiel";12,5;4;43,7;14
"Uden";208,9;88;515,2;217
"Uitgeest";29,3;4;131,9;18
"Uithoorn";40,7;12;118,8;35
"Urk";90,3;19;209,2;44
"Utrecht";45,6;163;161,3;577
"Utrechtse Heuvelrug";42,3;21;135,1;67
"Vaals";89,1;9;198;20
"Valkenburg aan de Geul";85,6;14;311,7;51
"Valkenswaard";44,9;14;310,9;97
"Veendam";7,3;2;25,6;7
"Veenendaal";48,1;32;117,3;78
"Veere";22,8;5;86,8;19
"Veldhoven";55;25;167,2;76
"Velsen";36,4;25;259,2;178
"Venlo";113;115;198,4;202
"Venray";80,3;35;174,3;76
"Vijfheerenlanden";35,2;20;264;150
"Vlaardingen";39,5;29;179,7;132
"Vlieland";0;0;0;0
"Vlissingen";18;8;99,2;44
"Voerendaal";112,3;14;200,5;25
"Voorschoten";35,2;9;93,7;24
"Voorst";40,7;10;175,2;43
"Vught";135,6;36;282,4;75
"Waadhoeke";17,4;8;128;59
"Waalre";28,6;5;120,3;21
"Waalwijk";47,3;23;207,7;101
"Waddinxveen";37,6;11;112,7;33
"Wageningen";35,3;14;75,6;30
"Wassenaar";26,7;7;114,4;30
