Gemeente,Provincie,13-05-2020,12-05-2020,11-05-2020,10-05-2020,09-05-2020,08-05-2020,07-05-2020,06-05-2020,05-05-2020,04-05-2020,03-05-2020,02-05-2020,01-05-2020,30-04-2020,29-04-2020,28-04-2020,27-04-2020,26-04-2020,25-04-2020,24-04-2020,23-04-2020,22-04-2020,21-04-2020,20-04-2020,19-04-2020,18-04-2020,17-04-2020,16-04-2020,15-04-2020,14-04-2020,13-04-2020,12-04-2020,11-04-2020,10-04-2020,09-04-2020,08-04-2020,07-04-2020,06-04-2020,05-04-2020,04-04-2020,03-04-2020,02-04-2020,01-04-2020,31-03-2020
Wijchen,Gelderland,41,41,41,40,40,40,40,40,40,40,40,39,39,39,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,36,36,36,35,35,34,34,33,33,33,32,31,30,27
Wijdemeren,Noord-Holland,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,4,3
Wijk bij Duurstede,Utrecht,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,7,7,7,7,5
Winterswijk,Gelderland,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
Woensdrecht,Noord-Brabant,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Woerden,Utrecht,47,47,47,47,46,46,47,47,47,47,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,45,45,45,42,39,37,37,36,35,34,33,33,31,28,27,26,25,22
Wormerland,Noord-Holland,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,18,18,18,18,18,18,17,17,16,16,16,16,16,16,16,16,16,16,16,15,14,13,12,12,12,11,10,9,8
Woudenberg,Utrecht,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,6,6,5,3,2,2,2
Zaanstad,Noord-Holland,111,111,110,110,110,110,110,110,110,107,107,107,107,107,106,104,104,104,104,104,104,104,104,101,101,101,98,95,93,88,88,88,88,89,86,82,78,71,71,70,48,35,34,32
Zaltbommel,Gelderland,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,15,14,13,13,13,10,10,10,9,8
Zandvoort,Noord-Holland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,7,7,7,7,7,6,4,4
Zeewolde,Flevoland,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,5,5,5,4,3
Zeist,Utrecht,35,35,35,35,34,34,34,34,34,34,33,33,33,33,33,33,34,34,34,35,35,35,34,34,31,30,30,30,29,29,29,27,26,26,26,26,25,25,23,20,18,15,13,12
Zevenaar,Gelderland,43,43,43,43,43,43,44,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,41,41,39,39,39,39,38,36,32,29,28,27,27,27,26,24,24,20,18,16
Zoetermeer,Zuid-Holland,47,46,46,46,46,46,46,47,47,47,47,47,47,47,46,46,46,46,45,45,39,38,38,38,38,37,37,37,37,37,36,34,34,33,31,31,30,28,28,25,24,23,22,21
Zoeterwoude,Zuid-Holland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Zuidplas,Zuid-Holland,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,21,21,20,19,19,19,19,17,17,17,17,17,17,16,16,16,16,14,13,12,12,12,10,10,9
Zundert,Noord-Brabant,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,17,16,16,16,16,15,15,15,15,14,14,14,14,14,13,13
Zutphen,Gelderland,27,27,27,27,27,26,25,25,25,24,23,23,23,20,20,20,20,20,20,19,19,18,18,18,18,18,18,18,17,17,17,17,15,15,12,12,12,11,10,10,10,9,8,5
Zwartewaterland,Overijssel,35,35,35,35,35,35,35,36,36,35,35,35,35,35,35,35,35,32,32,32,32,32,32,32,31,31,31,31,31,31,31,30,30,30,29,27,25,22,22,22,21,21,20,20
Zwijndrecht,Zuid-Holland,23,23,23,23,23,22,22,21,21,20,20,20,17,17,16,16,16,16,16,16,15,15,15,14,14,14,14,13,13,12,12,12,12,12,12,11,11,11,11,11,11,9,9,9
Zwolle,Overijssel,53,53,53,53,53,53,54,54,54,53,53,53,53,53,53,53,53,53,53,52,52,52,52,52,52,51,51,50,50,50,46,44,43,42,42,41,38,38,35,35,33,33,28,24
Súdwest Fryslân,Friesland,,,,,17,,,,,,,,,17,,,17,,,17,17,,,17,,,,,,,16,,,,,,14,,13,,,,,
