Gemeente,Provincie,13-05-2020,12-05-2020,11-05-2020,10-05-2020,09-05-2020,08-05-2020,07-05-2020,06-05-2020,05-05-2020,04-05-2020,03-05-2020,02-05-2020,01-05-2020,30-04-2020,29-04-2020,28-04-2020,27-04-2020,26-04-2020,25-04-2020,24-04-2020,23-04-2020,22-04-2020,21-04-2020,20-04-2020,19-04-2020,18-04-2020,17-04-2020,16-04-2020,15-04-2020,14-04-2020,13-04-2020,12-04-2020,11-04-2020,10-04-2020,09-04-2020,08-04-2020,07-04-2020,06-04-2020,05-04-2020,04-04-2020,03-04-2020,02-04-2020,01-04-2020,31-03-2020
Midden-Groningen,Groningen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4
Mill en Sint Hubert,Noord-Brabant,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,6,6,6,6
Moerdijk,Noord-Brabant,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,7,7,7,7,7,7,6,6,5
Molenlanden,Zuid-Holland,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,14,14,14,13,10,10,9
Montferland,Gelderland,18,18,18,18,18,18,18,17,17,15,14,13,13,12,12,12,12,12,12,12,11,11,11,10,9,9,9,9,9,9,8,8,8,6,6,6,5,5,5,4,4,4,4,3
Montfoort,Utrecht,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,9,9,9
Mook en Middelaar,Limburg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3
Neder-Betuwe,Gelderland,34,34,34,33,32,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,29,28,27,26,26,26,22
Nederweert,Limburg,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,28,28,28,28,28,28,28,28,28,28,28,27,27,25,25,25,25,25,25,24,24,24,24,22
Nieuwegein,Utrecht,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,39,38,38,38,38,38,37,37,37,37,37,36,35,34,30,30,29,29,29,29,26,25,24,22,21,21,20,17,15
Nieuwkoop,Zuid-Holland,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,4
Nijkerk,Gelderland,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,19,18,18,17,18,17,16,14,11,10
Nijmegen,Gelderland,125,124,124,123,123,123,124,124,124,123,123,123,123,119,119,119,118,118,118,118,116,116,115,115,114,114,114,111,111,111,109,109,106,103,100,100,98,94,89,88,87,83,79,72
Nissewaard,Zuid-Holland,53,52,52,52,52,51,48,47,47,47,47,47,45,45,43,42,42,42,39,39,39,39,39,38,38,36,35,35,33,32,32,32,32,31,28,27,25,25,24,23,23,22,20,19
Noardeast-Fryslân,Friesland,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Noord-Beveland,Zeeland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Noordenveld,Drenthe,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Noordoostpolder,Flevoland,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,11,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,7,6,6
Noordwijk,Zuid-Holland,17,16,16,16,16,16,17,17,17,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,11,11,11,11,9,9,9,8,8,8
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,11,9,7
Nunspeet,Gelderland,49,48,47,44,44,44,42,42,42,42,42,42,41,39,38,36,35,35,35,35,34,34,33,33,33,33,32,31,30,29,28,28,28,27,26,24,23,20,20,19,19,19,17,15
Oegstgeest,Zuid-Holland,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,3,3,3
Oirschot,Noord-Brabant,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9,9,9,9,9,9,9,9,9,6,6,6
Oisterwijk,Noord-Brabant,22,21,21,21,21,21,20,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,13,10,10,10,10,10,10,9
Oldambt,Groningen,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Oldebroek,Gelderland,37,37,37,37,37,36,37,37,37,35,35,34,33,32,32,32,30,30,29,27,27,26,26,25,25,24,24,24,23,23,22,22,19,19,18,17,13,11,10,9,8,8,8,6
Oldenzaal,Overijssel,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,11,11,11,10,10,10,8,8
Olst-Wijhe,Overijssel,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9,9,9,9,9,9,9,7,6,6,6,6,5,5
Ommen,Overijssel,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,4,4
Oost Gelre,Gelderland,16,15,15,15,15,14,14,14,14,13,13,13,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,6,5,5,4,4,4,4,4,3,2,2,2,2
Oosterhout,Noord-Brabant,47,47,46,46,46,45,45,45,44,44,44,44,44,44,43,42,42,40,40,40,39,39,39,39,38,35,35,35,34,34,34,34,34,34,29,27,25,25,25,25,25,25,24,23
Ooststellingwerf,Friesland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oostzaan,Noord-Holland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,7,6,5,5,5,4,4,3,2
Opmeer,Noord-Holland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Opsterland,Friesland,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4
Oss,Noord-Brabant,164,164,164,164,164,164,165,165,165,165,164,164,164,163,163,163,163,163,160,146,132,120,119,117,117,116,114,112,112,112,112,112,112,113,108,107,104,100,100,96,93,86,78,73
Oude IJsselstreek,Gelderland,18,18,18,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,14,14,14,13,12,12,12,12,11,11,9,8,7,7,7,6,5,5,5,4,4,4,3,2,2
Ouder-Amstel,Noord-Holland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3
Oudewater,Utrecht,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,23,21,21,21,21,20,20,20,20,20,18,16,16,16,15,15
Overbetuwe,Gelderland,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,55,54,54,54,53,52,52,51,48,49,47,47,45,43,43,42,39,38,32
Papendrecht,Zuid-Holland,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,3,3,3,3,1,1,1,0
Peel en Maas,Limburg,143,143,143,143,142,142,142,142,142,142,141,141,141,141,141,141,141,140,140,140,140,139,139,139,139,139,138,136,135,134,133,133,131,130,129,128,124,118,118,117,117,109,107,103
Pekela,Groningen,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Pijnacker-Nootdorp,Zuid-Holland,23,23,23,23,23,23,23,23,23,22,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,20,19,19,19,18,18,17,15,15,15,14,13,11,10,10,10,9
Purmerend,Noord-Holland,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,62,61,61,61,61,61,61,61,60,59,55,55,55,55,54,54,52,50,47,47,47,44,38,37,35
Putten,Gelderland,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1
Raalte,Overijssel,25,25,25,25,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,21,20,20,20,20,20,20,20,20,19,18,18,18,18,16,14
Reimerswaal,Zeeland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Renkum,Gelderland,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,12,11,11,11,11,11,11,10
Renswoude,Utrecht,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,1
Reusel-De Mierden,Noord-Brabant,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,5,4,1
Rheden,Gelderland,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,29,29,29,28,28,28,28,26,24,22,20
Rhenen,Utrecht,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Ridderkerk,Zuid-Holland,37,37,37,37,36,35,34,34,34,34,34,34,34,33,33,33,33,33,32,32,32,32,32,31,31,31,31,29,29,29,29,28,28,29,28,27,27,27,26,24,23,23,22,18
Rijssen-Holten,Overijssel,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,27,27,27,27,27,26,26,26,26,26,25,24,24,24,23,22,22,20,20,19,18,17,16,16,15,13,13,8,8
Rijswijk,Zuid-Holland,32,33,33,33,33,33,33,33,33,33,33,33,33,32,31,30,29,29,28,27,27,25,23,23,23,21,20,19,19,18,17,17,16,16,15,16,16,14,14,14,14,13,12,12
Roerdalen,Limburg,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,22,21,21,19,18,18,17,16,13
Roermond,Limburg,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,54,54,54,54,53,53,53,51,51,50,49,48,48,48,46,46,42,40,37,37,37,36,33,30,30,25
Roosendaal,Noord-Brabant,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,25,25,24,24,23,23,22,21,21,21,19,19,19,18,18,17,15,15,15,15,15,15,15,12,12,11
Rotterdam,Zuid-Holland,477,470,468,468,466,458,454,449,448,442,440,436,427,418,408,404,401,392,385,380,375,368,361,353,347,334,328,319,311,298,282,275,261,255,239,230,211,198,181,172,159,151,132,120
Rozendaal,Gelderland,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rucphen,Noord-Brabant,9,9,9,9,9,9,10,10,10,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,4,4,3
's-Gravenhage,Zuid-Holland,292,292,291,290,290,287,287,283,282,281,281,280,277,278,274,274,273,268,265,262,261,259,255,246,242,240,233,229,224,212,207,200,191,180,167,159,151,139,130,121,115,112,96,81
Schagen,Noord-Holland,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,16,16,16,15,14,14,14,14,14,13,12,11,10,10,10
Scherpenzeel,Gelderland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,0,0
Schiedam,Zuid-Holland,49,48,48,48,48,47,47,45,45,44,44,43,43,41,40,40,39,39,37,37,37,36,35,35,35,35,34,34,34,33,33,30,30,30,30,30,27,27,24,23,23,21,21,19
Schiermonnikoog,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schouwen-Duiveland,Zeeland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,7,7,7,6
Simpelveld,Limburg,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,15,15,15,14,14,13,8,2,2
Sint Anthonis,Noord-Brabant,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,17,16,15,15,15,15,14,14,14
Sint-Michielsgestel,Noord-Brabant,36,36,36,36,36,36,36,36,36,36,36,36,36,35,35,35,35,34,34,34,34,34,34,34,34,34,33,31,30,29,28,27,22,22,21,20,18,18,17,15,15,15,14,14
Sittard-Geleen,Limburg,113,113,112,112,112,111,112,112,112,111,111,111,111,109,108,106,105,104,104,104,103,98,95,95,95,92,91,91,91,91,91,91,88,85,81,76,74,71,68,65,63,55,25,24
Sliedrecht,Zuid-Holland,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,4,3,2,2,2,1
Sluis,Zeeland,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,4,4,4,4,4,4
Smallingerland,Friesland,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5
Soest,Utrecht,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,20,20,20,20,20,19,19,17,17,17,17,16,14,14,14,13,10,9,9
Someren,Noord-Brabant,33,33,33,32,32,31,31,31,31,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,27,26,24,21,21,20,20,20,20,20,20,19,14,13,8
Son en Breugel,Noord-Brabant,31,31,31,31,31,31,31,31,31,31,31,30,29,29,29,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,25,23,23,23,22,22,22,22,22,20,19,18,15
Stadskanaal,Groningen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0
Staphorst,Overijssel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,5,4,4,4,4,4,4,4,3,1,1,1
Stede Broec,Noord-Holland,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,17,16,16,16,16,15,15,15,15,15,13,13,13,11,11,10
Steenbergen,Noord-Brabant,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,9,9,9,8,8,8,8,7,7,7
Steenwijkerland,Overijssel,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,8,8,8,8,7,7,6
Stein,Limburg,43,43,43,43,43,43,43,43,43,43,43,43,43,43,41,41,40,40,39,39,39,39,38,38,38,38,38,37,37,36,36,36,36,35,35,34,33,31,28,26,25,24,11,11
Stichtse Vecht,Utrecht,32,32,32,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,28,28,28,28,27,27,26,26,26,26,25,25,25,25,25,23,22,20,20,18,16,16
Súdwest-Fryslân,Friesland,17,17,17,17,,17,17,17,17,17,17,17,17,,17,17,,17,17,,,17,17,,17,17,17,17,17,16,,16,16,14,14,14,,13,,13,13,13,13,12
Terneuzen,Zeeland,25,25,25,24,24,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,22,21,21,21,20,20,19,19,19,19,19,19,19,17,16,17,16,15,15,15,14,13,11
Terschelling,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texel,Noord-Holland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,1,1
Teylingen,Zuid-Holland,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,8,7,7,6
Tholen,Zeeland,40,40,40,40,39,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,36,35,34,34,34,34,33,33,33,32,31,30,30,30,26,25,23,20
Tiel,Gelderland,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,39,39,38,38,38,37,37,37,35,34,34,34,34,34,34,31,31,30,28,28,26,24,24,21,21,21
Tilburg,Noord-Brabant,244,220,218,218,218,218,199,198,197,184,184,183,175,175,175,175,171,170,168,167,166,166,164,163,163,163,161,160,160,159,158,158,158,158,153,150,148,144,144,139,135,124,119,115
Tubbergen,Overijssel,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,7,7
Twenterand,Overijssel,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,9,9,9,8,8,8,8,8,8,8,7,6,6,5,5
Tynaarlo,Drenthe,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5
Tytsjerksteradiel,Friesland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1
Uden,Noord-Brabant,116,116,116,116,116,116,116,116,116,116,116,116,116,116,115,115,114,114,112,111,107,99,93,90,89,88,88,88,88,88,88,88,88,87,86,84,82,82,82,81,80,77,73,67
Uitgeest,Noord-Holland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Uithoorn,Noord-Holland,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,12,12,12,12,12,12,12,12,12,10,9,9,9,9,9,9
Urk,Flevoland,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,16,16,14,14,13,12,11,11
Utrecht,Utrecht,250,250,247,246,244,243,243,243,241,240,238,233,233,227,227,223,219,211,211,210,208,207,202,203,200,199,188,183,176,163,158,156,154,145,143,140,134,131,120,111,103,90,80,75
